,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
30852812,1,26,29,917,10,6,9,7
30852837,4,9,20,2751,6,2,5,5
30852859,9,14,19,917,2,4,3,5
30852881,13,16,8,1834,6,4,4,2
30852904,18,1,8,1834,2,0,4,2
30852925,21,7,16,2751,2,2,6,4
30852946,23,24,20,917,6,6,5,5
30852967,29,26,21,1834,10,6,7,5
30852988,35,25,33,1834,8,6,10,8
30853010,38,3,20,3668,1,1,5,5
30853033,41,27,29,1834,5,7,9,7
30853056,45,12,15,917,5,3,4,4
30853076,48,31,33,1834,6,8,10,8
30853098,52,8,16,1834,4,2,6,4
30853120,56,24,23,917,6,6,4,6
30853143,61,32,15,3668,8,8,4,4
30853164,63,16,21,917,6,4,7,5
30853187,66,14,19,917,2,4,3,5
30853207,70,20,0,4585,5,5,0,0
30853235,75,7,16,2751,2,2,6,4
30853256,79,20,11,1834,5,5,3,3
30853281,82,20,17,1834,5,5,8,4
30853303,85,32,21,2751,8,8,7,5
30853327,89,16,21,917,6,4,7,5
30853349,94,18,23,1834,1,5,4,6
30853371,96,0,21,5502,0,0,7,5
30853391,100,16,21,917,6,4,7,5
30853412,104,16,0,4585,6,4,0,0
30853433,108,26,29,917,10,6,9,7
30853454,111,15,11,917,4,4,3,3
30853480,114,20,16,917,5,5,6,4
30853502,118,6,11,1834,0,2,3,3
30853523,123,3,20,3668,1,1,5,5
30853543,127,25,21,917,8,6,7,5
30853565,131,6,11,1834,0,2,3,3
30853586,136,8,16,1834,4,2,6,4
30853607,140,13,11,1834,0,4,3,3
30853629,145,7,16,2751,2,2,6,4
30853649,149,0,16,4585,0,0,6,4
30853672,153,7,10,917,2,2,1,3
30853698,158,19,16,1834,3,5,6,4
30853719,162,13,16,2751,0,4,6,4
30853740,166,20,6,3668,5,5,0,2
30853762,171,26,29,917,10,6,9,7
30853788,177,11,22,3668,3,3,9,5
30853808,181,23,1,5502,4,6,2,0
30853833,185,21,16,917,7,5,6,4
30853853,189,22,0,6419,9,5,0,0
30853875,193,27,25,1834,5,7,8,6
30853898,197,32,29,917,8,8,9,7
30853922,202,12,20,1834,5,3,5,5
30853943,207,16,12,917,6,4,5,3
30853966,211,14,11,917,2,4,3,3
30853992,215,21,20,917,7,5,5,5
30854015,219,23,16,1834,4,6,6,4
30854037,222,5,14,2751,5,1,2,4
30854058,225,12,14,1834,5,3,2,4
30854080,228,14,11,917,2,4,3,3
30854100,231,16,20,917,6,4,5,5
30854122,235,22,29,1834,9,5,9,7
30854142,240,6,11,1834,0,2,3,3
30854164,243,26,20,2751,10,6,5,5
30854186,247,25,16,1834,8,6,6,4
30854208,252,24,25,917,6,6,8,6
30854231,256,16,0,4585,6,4,0,0
30854255,259,13,0,3668,0,4,0,0
30854277,263,16,23,1834,6,4,4,6
30854298,266,6,15,2751,0,2,4,4
30854320,269,16,21,917,6,4,7,5
30854342,273,34,36,1834,12,8,9,9
30854364,277,3,7,917,1,1,2,2
30854384,282,28,31,917,7,7,6,8
30854408,287,26,25,917,10,6,8,6
30854428,291,12,16,917,5,3,6,4
30854449,293,30,12,4585,11,7,5,3
30854470,298,27,22,2751,5,7,9,5
30854492,302,16,21,917,6,4,7,5
30854514,307,21,23,1834,7,5,4,6
30854535,311,14,18,917,2,4,1,5
30854557,316,31,20,2751,6,8,5,5
30854578,320,10,7,917,1,3,2,2
30854602,325,27,21,1834,5,7,7,5
30854624,328,13,23,2751,0,4,4,6
30854646,332,11,3,1834,3,3,1,1
30854667,337,25,16,1834,8,6,6,4
30854691,342,17,15,1834,8,4,4,4
30854711,344,18,12,2751,1,5,5,3
30854736,347,16,20,917,6,4,5,5
30854758,351,21,3,4585,7,5,1,1
30854778,354,11,10,917,3,3,1,3
30854798,357,6,7,917,0,2,2,2
30854823,360,13,3,2751,0,4,1,1
30854847,364,24,25,917,6,6,8,6
30854871,369,0,8,2751,0,0,4,2
30854898,373,25,28,917,8,6,7,7
30854922,376,25,29,917,8,6,9,7
30854944,380,26,20,2751,10,6,5,5
30854965,384,24,26,1834,6,6,10,6
30854987,388,18,9,3668,1,5,6,2
30855011,393,26,17,1834,10,6,8,4
30855034,396,19,25,2751,3,5,8,6
30855056,401,22,21,917,9,5,7,5
30855079,406,29,24,1834,9,7,6,6
30855101,410,17,10,3668,8,4,1,3
30855121,414,26,20,2751,10,6,5,5
30855143,418,7,6,917,2,2,0,2
30855164,421,20,15,917,5,5,4,4
30855185,424,27,15,2751,5,7,4,4
30855206,428,12,22,2751,5,3,9,5
30855227,431,21,16,917,7,5,6,4
30855248,434,22,30,1834,9,5,11,7
30855272,438,32,21,2751,8,8,7,5
30855294,441,29,33,917,9,7,10,8
30855316,444,16,12,917,6,4,5,3
30855337,448,3,13,2751,1,1,0,4
30855360,452,0,16,4585,0,0,6,4
30855382,456,3,21,4585,1,1,7,5
30855405,461,21,20,917,7,5,5,5
30855426,464,15,23,1834,4,4,4,6
30855449,468,31,23,1834,6,8,4,6
30855470,471,7,21,3668,2,2,7,5
30855491,475,16,21,917,6,4,7,5
30855513,478,16,19,1834,6,4,3,5
30855537,482,25,33,1834,8,6,10,8
30855559,485,14,11,917,2,4,3,3
30855583,489,16,20,917,6,4,5,5
30855606,493,12,21,1834,5,3,7,5
30855629,497,3,4,917,1,1,3,1
30855649,500,34,26,1834,12,8,10,6
30855671,503,27,20,1834,5,7,5,5
30855691,507,9,21,2751,6,2,7,5
30855712,512,7,10,917,2,2,1,3
30855734,515,21,26,1834,7,5,10,6
30855758,520,23,11,2751,4,6,3,3
30855780,523,30,15,4585,11,7,4,4
30855802,527,8,3,1834,4,2,1,1
30855823,531,21,29,1834,7,5,9,7
30855845,533,35,20,3668,7,9,5,5
30855867,537,12,16,917,5,3,6,4
30855888,541,29,21,1834,9,7,7,5
30855912,544,16,29,2751,6,4,9,7
30855933,547,6,1,1834,0,2,2,0
30855954,552,23,21,1834,4,6,7,5
30855976,555,17,19,2751,8,4,3,5
30855998,560,0,6,1834,0,0,0,2
30856019,564,16,17,917,6,4,8,4
30856041,567,35,32,917,7,9,8,8
30856063,573,12,21,1834,5,3,7,5
30856086,577,11,0,2751,3,3,0,0
30856109,581,36,28,1834,9,9,7,7
30856130,584,19,21,1834,3,5,7,5
30856153,588,9,0,3668,6,2,0,0
30856174,595,25,16,1834,8,6,6,4
30856196,600,19,21,1834,3,5,7,5
30856218,603,11,20,1834,3,3,5,5
30856238,607,15,11,917,4,4,3,3
30856261,610,31,16,3668,6,8,6,4
30856285,615,20,12,1834,5,5,5,3
30856307,618,16,21,917,6,4,7,5
30856327,621,28,7,4585,7,7,2,2
30856350,626,10,3,1834,1,3,1,1
30856374,628,1,25,5502,2,0,8,6
30856396,633,20,23,917,5,5,4,6
30856419,636,22,20,1834,9,5,5,5
30856444,642,23,16,1834,4,6,6,4
30856467,646,19,27,1834,3,5,5,7
30856488,649,33,24,2751,10,8,6,6
30856509,654,14,21,2751,2,4,7,5
30856532,658,16,15,917,6,4,4,4
30856554,663,29,20,2751,9,7,5,5
30856578,667,15,20,917,4,4,5,5
30856598,670,12,21,1834,5,3,7,5
30856618,673,33,7,6419,10,8,2,2
30856641,678,11,10,917,3,3,1,3
30856661,681,10,0,2751,1,3,0,0
30856686,685,3,16,3668,1,1,6,4
30856708,689,7,4,917,2,2,3,1
30856730,693,15,0,3668,4,4,0,0
30856754,698,20,15,917,5,5,4,4
30856776,702,26,19,3668,10,6,3,5
30856796,704,15,20,917,4,4,5,5
30856818,707,16,15,917,6,4,4,4
30856841,710,25,3,5502,8,6,1,1
30856863,715,30,20,3668,11,7,5,5
30856884,718,24,15,1834,6,6,4,4
30856906,722,16,15,917,6,4,4,4
30856928,725,16,23,1834,6,4,4,6
30856949,729,25,21,917,8,6,7,5
30856970,735,21,16,917,7,5,6,4
30856991,739,24,16,1834,6,6,6,4
30857013,742,7,21,3668,2,2,7,5
30857033,745,33,25,1834,10,8,8,6
30857057,750,31,29,1834,6,8,9,7
30857078,754,21,17,917,7,5,8,4
30857099,757,30,26,917,11,7,10,6
30857123,761,25,29,917,8,6,9,7
30857143,765,7,21,3668,2,2,7,5
30857166,768,25,20,1834,8,6,5,5
30857188,771,17,15,1834,8,4,4,4
30857210,775,33,32,917,10,8,8,8
30857235,780,24,0,5502,6,6,0,0
30857255,785,25,20,1834,8,6,5,5
30857276,789,0,20,4585,0,0,5,5
30857299,792,17,21,917,8,4,7,5
30857320,795,4,12,1834,3,1,5,3
30857344,799,20,8,2751,5,5,4,2
30857367,803,10,8,1834,1,3,4,2
30857387,806,17,22,917,8,4,9,5
30857410,813,8,2,1834,4,2,4,0
30857431,816,16,21,917,6,4,7,5
30857452,821,10,14,917,1,3,2,4
30857474,824,14,12,1834,2,4,5,3
30857495,828,25,26,917,8,6,10,6
30857518,831,16,20,917,6,4,5,5
30857541,836,7,22,4585,2,2,9,5
30857563,840,25,20,1834,8,6,5,5
30857584,846,16,20,917,6,4,5,5
30857604,849,12,16,917,5,3,6,4
30857625,852,8,15,1834,4,2,4,4
30857646,855,27,14,2751,5,7,2,4
30857673,860,26,16,2751,10,6,6,4
30857693,863,15,32,3668,4,4,8,8
30857716,867,8,15,1834,4,2,4,4
30857738,872,23,14,1834,4,6,2,4
30857761,876,8,12,917,4,2,5,3
30857782,880,31,28,917,6,8,7,7
30857804,884,25,7,4585,8,6,2,2
30857824,887,24,25,917,6,6,8,6
30857845,893,12,3,2751,5,3,1,1
30857865,896,12,20,1834,5,3,5,5
30857886,900,12,20,1834,5,3,5,5
30857909,903,30,0,8253,11,7,0,0
30857930,906,11,7,917,3,3,2,2
30857950,910,6,16,3668,0,2,6,4
30857972,913,19,6,2751,3,5,0,2
30857993,916,16,0,4585,6,4,0,0
30858016,920,25,16,1834,8,6,6,4
30858039,924,10,14,917,1,3,2,4
30858059,926,22,30,1834,9,5,11,7
30858080,931,33,26,1834,10,8,10,6
30858102,934,25,35,2751,8,6,7,9
30858123,938,16,21,917,6,4,7,5
30858147,943,23,22,2751,4,6,9,5
30858168,945,30,21,2751,11,7,7,5
30858193,951,3,12,2751,1,1,5,3
30858216,955,0,7,1834,0,0,2,2
30858237,958,19,23,917,3,5,4,6
30858261,963,15,16,917,4,4,6,4
30858283,966,21,20,917,7,5,5,5
30858307,971,6,14,1834,0,2,2,4
30858328,974,15,16,917,4,4,6,4
30858349,978,10,15,1834,1,3,4,4
30858370,983,12,0,3668,5,3,0,0
30858391,986,9,16,1834,6,2,6,4
30858414,989,29,4,5502,9,7,3,1
30858436,993,10,16,2751,1,3,6,4
30858457,997,16,18,2751,6,4,1,5
30858481,1001,3,12,2751,1,1,5,3
30858503,1004,0,17,5502,0,0,8,4
30858525,1009,4,14,2751,3,1,2,4
30858547,1012,14,21,2751,2,4,7,5
30858570,1016,25,24,917,8,6,6,6
30858592,1018,33,25,1834,10,8,8,6
30858614,1022,6,20,3668,0,2,5,5
30858637,1027,23,12,2751,4,6,5,3
30858659,1030,0,7,1834,0,0,2,2
30858682,1034,29,19,3668,9,7,3,5
30858705,1038,0,3,917,0,0,1,1
30858727,1042,36,29,1834,9,9,9,7
30858749,1045,29,22,1834,9,7,9,5
30858770,1050,4,3,917,3,1,1,1
30858793,1054,25,26,917,8,6,10,6
30858814,1059,11,13,1834,3,3,0,4
30858838,1062,7,20,2751,2,2,5,5
30858860,1068,31,21,2751,6,8,7,5
30858881,1071,12,10,1834,5,3,1,3
30858902,1075,1,15,3668,2,0,4,4
30858926,1080,26,25,917,10,6,8,6
30858946,1085,0,21,5502,0,0,7,5
30858966,1088,11,0,2751,3,3,0,0
30858989,1092,30,16,3668,11,7,6,4
30859010,1095,11,18,1834,3,3,1,5
30859031,1099,8,0,2751,4,2,0,0
30859051,1103,25,22,917,8,6,9,5
30859073,1107,37,25,2751,11,9,8,6
30859095,1111,4,6,1834,3,1,0,2
30859115,1114,23,26,2751,4,6,10,6
30859137,1119,21,31,2751,7,5,6,8
30859160,1124,21,12,1834,7,5,5,3
30859184,1126,15,12,917,4,4,5,3
30859205,1131,12,21,1834,5,3,7,5
30859225,1135,28,30,1834,7,7,11,7
30859247,1137,36,22,3668,9,9,9,5
30859269,1141,15,20,917,4,4,5,5
30859289,1144,26,20,2751,10,6,5,5
30859310,1148,26,8,4585,10,6,4,2
30859332,1152,29,25,917,9,7,8,6
30859355,1157,20,15,917,5,5,4,4
30859379,1161,7,14,1834,2,2,2,4
30859403,1165,12,16,917,5,3,6,4
30859428,1168,19,16,1834,3,5,6,4
30859451,1170,23,24,917,4,6,6,6
30859472,1175,16,4,2751,6,4,3,1
30859495,1179,19,16,1834,3,5,6,4
30859515,1182,0,3,917,0,0,1,1
30859536,1187,24,15,1834,6,6,4,4
30859557,1191,10,14,917,1,3,2,4
30859578,1195,4,0,1834,3,1,0,0
30859598,1199,15,4,2751,4,4,3,1
30859620,1203,7,8,917,2,2,4,2
30859642,1208,26,15,3668,10,6,4,4
30859663,1212,12,16,917,5,3,6,4
30859685,1217,15,19,917,4,4,3,5
30859706,1223,25,20,1834,8,6,5,5
30859729,1227,25,22,917,8,6,9,5
