,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
55140072,1,20,16,917,5,5,6,4
55140094,5,31,14,3668,6,8,2,4
55140115,11,21,0,5502,7,5,0,0
55140138,17,30,21,2751,11,7,7,5
55140158,20,11,19,1834,3,3,3,5
55140181,23,27,20,1834,5,7,5,5
55140204,28,33,16,3668,10,8,6,4
55140224,33,11,0,2751,3,3,0,0
55140246,38,4,10,1834,3,1,1,3
55140266,42,26,4,5502,10,6,3,1
55140286,46,19,3,3668,3,5,1,1
55140307,50,12,16,917,5,3,6,4
55140329,54,21,15,1834,7,5,4,4
55140352,59,33,25,1834,10,8,8,6
55140375,63,15,21,1834,4,4,7,5
55140395,68,26,16,2751,10,6,6,4
55140416,72,18,20,1834,1,5,5,5
55140436,76,15,21,1834,4,4,7,5
55140456,81,7,16,2751,2,2,6,4
55140476,86,31,20,2751,6,8,5,5
55140496,90,8,21,2751,4,2,7,5
55140517,92,16,1,3668,6,4,2,0
55140537,97,23,20,917,4,6,5,5
55140558,100,19,16,1834,3,5,6,4
55140580,104,20,28,1834,5,5,7,7
55140601,109,11,10,917,3,3,1,3
55140621,113,7,16,2751,2,2,6,4
55140642,119,8,22,3668,4,2,9,5
55140663,125,10,0,2751,1,3,0,0
55140685,129,25,20,1834,8,6,5,5
55140706,132,16,11,1834,6,4,3,3
55140727,137,33,20,3668,10,8,5,5
55140748,141,31,23,1834,6,8,4,6
55140770,145,16,19,1834,6,4,3,5
55140793,149,13,11,1834,0,4,3,3
55140814,153,30,24,2751,11,7,6,6
55140835,157,0,10,2751,0,0,1,3
55140858,162,10,25,4585,1,3,8,6
55140881,167,26,21,1834,10,6,7,5
55140902,170,16,14,1834,6,4,2,4
55140925,175,23,33,3668,4,6,10,8
55140945,178,29,15,3668,9,7,4,4
55140965,181,23,16,1834,4,6,6,4
55140987,186,16,15,917,6,4,4,4
55141009,191,21,16,917,7,5,6,4
55141030,195,25,20,1834,8,6,5,5
55141052,200,18,15,1834,1,5,4,4
55141074,206,3,20,3668,1,1,5,5
55141095,211,9,11,1834,6,2,3,3
55141117,215,13,11,1834,0,4,3,3
55141137,218,15,16,917,4,4,6,4
55141159,223,20,15,917,5,5,4,4
55141181,226,5,13,3668,5,1,0,4
55141202,231,10,16,2751,1,3,6,4
55141224,235,12,3,2751,5,3,1,1
55141244,239,22,30,1834,9,5,11,7
55141265,243,14,0,3668,2,4,0,0
55141287,246,10,15,1834,1,3,4,4
55141309,252,16,15,917,6,4,4,4
55141331,255,12,15,917,5,3,4,4
55141352,259,11,3,1834,3,3,1,1
55141374,266,28,15,2751,7,7,4,4
55141396,269,10,15,1834,1,3,4,4
55141418,274,11,8,917,3,3,4,2
55141439,278,14,20,1834,2,4,5,5
55141460,282,16,20,917,6,4,5,5
55141482,287,29,21,1834,9,7,7,5
55141503,290,0,7,1834,0,0,2,2
55141523,293,23,20,917,4,6,5,5
55141544,299,25,16,1834,8,6,6,4
55141565,303,23,20,917,4,6,5,5
55141585,306,26,35,2751,10,6,7,9
55141606,310,21,15,1834,7,5,4,4
55141629,316,21,17,917,7,5,8,4
55141649,320,20,7,2751,5,5,2,2
55141670,325,7,15,1834,2,2,4,4
55141692,329,20,16,917,5,5,6,4
55141714,333,10,23,2751,1,3,4,6
55141736,337,31,23,1834,6,8,4,6
55141756,341,29,15,3668,9,7,4,4
55141778,345,26,28,1834,10,6,7,7
55141801,350,16,14,1834,6,4,2,4
55141821,354,35,29,1834,7,9,9,7
55141844,359,16,21,917,6,4,7,5
55141866,362,21,15,1834,7,5,4,4
55141887,365,20,27,1834,5,5,5,7
55141908,370,16,20,917,6,4,5,5
55141931,375,29,0,7336,9,7,0,0
55141953,380,12,21,1834,5,3,7,5
55141974,383,0,10,2751,0,0,1,3
55141996,387,27,25,1834,5,7,8,6
55142016,391,9,0,3668,6,2,0,0
55142036,395,12,7,1834,5,3,2,2
55142056,399,0,16,4585,0,0,6,4
55142077,403,19,3,3668,3,5,1,1
55142099,408,16,15,917,6,4,4,4
55142119,412,16,11,1834,6,4,3,3
55142141,418,9,7,1834,6,2,2,2
55142164,424,25,15,2751,8,6,4,4
55142185,427,19,3,3668,3,5,1,1
55142207,430,4,16,2751,3,1,6,4
