,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
70318304,1,7,0,1834,2,2,0,0
70318325,6,3,6,917,1,1,0,2
70318346,10,20,12,1834,5,5,5,3
70318368,15,19,13,1834,3,5,0,4
70318391,20,31,21,2751,6,8,7,5
70318411,25,6,3,917,0,2,1,1
70318434,30,12,21,1834,5,3,7,5
70318456,35,0,15,3668,0,0,4,4
70318477,41,22,21,917,9,5,7,5
70318499,46,17,7,3668,8,4,2,2
70318521,51,16,8,1834,6,4,4,2
70318545,59,19,33,4585,3,5,10,8
70318565,63,23,14,1834,4,6,2,4
70318586,69,1,11,2751,2,0,3,3
70318608,72,12,20,1834,5,3,5,5
70318629,76,21,16,917,7,5,6,4
70318656,84,22,14,3668,9,5,2,4
70318677,88,29,0,7336,9,7,0,0
70318697,93,9,12,917,6,2,5,3
70318719,98,23,0,5502,4,6,0,0
70318739,102,25,15,2751,8,6,4,4
70318762,111,25,0,6419,8,6,0,0
70318784,115,15,12,917,4,4,5,3
70318805,119,21,33,2751,7,5,10,8
70318826,123,22,23,2751,9,5,4,6
70318847,128,36,26,2751,9,9,10,6
70318868,133,30,37,1834,11,7,11,9
70318891,138,32,24,1834,8,8,6,6
70318912,142,8,12,917,4,2,5,3
70318933,146,18,8,2751,1,5,4,2
70318955,152,29,31,1834,9,7,6,8
70318980,156,26,20,2751,10,6,5,5
70319001,161,6,15,2751,0,2,4,4
70319026,167,26,22,917,10,6,9,5
70319049,173,25,1,5502,8,6,2,0
70319070,179,23,27,917,4,6,5,7
70319093,184,16,21,917,6,4,7,5
70319115,189,5,4,917,5,1,3,1
70319136,195,31,21,2751,6,8,7,5
70319156,200,11,33,5502,3,3,10,8
70319179,206,29,30,917,9,7,11,7
70319200,212,22,23,2751,9,5,4,6
70319222,216,22,15,2751,9,5,4,4
70319243,220,15,20,917,4,4,5,5
70319265,224,15,21,1834,4,4,7,5
70319286,228,19,15,917,3,5,4,4
