,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
3821633,0,11,21,2751,3,3,7,5
3821656,5,0,11,2751,0,0,3,3
3821678,9,27,23,917,5,7,4,6
3821700,13,13,3,2751,0,4,1,1
3821721,16,21,0,5502,7,5,0,0
3821744,20,26,20,2751,10,6,5,5
3821765,24,8,14,1834,4,2,2,4
3821786,29,9,17,2751,6,2,8,4
3821808,33,25,20,1834,8,6,5,5
3821830,38,11,22,3668,3,3,9,5
3821855,43,31,21,2751,6,8,7,5
3821875,47,9,10,2751,6,2,1,3
3821898,52,4,18,3668,3,1,1,5
3821918,55,12,0,3668,5,3,0,0
3821939,59,15,20,917,4,4,5,5
3821962,63,23,12,2751,4,6,5,3
3821985,68,3,10,1834,1,1,1,3
3822007,72,21,8,2751,7,5,4,2
3822030,76,14,11,917,2,4,3,3
3822052,78,22,21,917,9,5,7,5
3822072,81,16,25,1834,6,4,8,6
3822094,83,7,21,3668,2,2,7,5
3822114,88,31,27,917,6,8,5,7
3822136,92,14,20,1834,2,4,5,5
3822158,97,27,16,2751,5,7,6,4
3822182,101,33,21,2751,10,8,7,5
3822204,105,26,0,7336,10,6,0,0
3822224,108,26,22,917,10,6,9,5
3822246,112,18,20,1834,1,5,5,5
3822267,115,26,21,1834,10,6,7,5
3822288,119,4,0,1834,3,1,0,0
3822310,123,11,15,917,3,3,4,4
3822333,126,14,10,917,2,4,1,3
3822355,130,21,1,4585,7,5,2,0
3822376,133,19,20,917,3,5,5,5
3822398,137,26,33,1834,10,6,10,8
3822418,139,16,20,917,6,4,5,5
3822441,143,26,16,2751,10,6,6,4
3822461,145,19,21,1834,3,5,7,5
3822482,149,16,8,1834,6,4,4,2
3822505,153,12,3,2751,5,3,1,1
3822529,157,19,20,917,3,5,5,5
3822554,162,16,10,2751,6,4,1,3
3822576,165,15,8,1834,4,4,4,2
3822597,168,29,21,1834,9,7,7,5
3822621,171,25,21,917,8,6,7,5
3822644,175,12,15,917,5,3,4,4
3822666,178,6,3,917,0,2,1,1
3822689,182,11,15,917,3,3,4,4
3822711,185,17,19,2751,8,4,3,5
3822732,191,23,16,1834,4,6,6,4
3822754,195,18,0,4585,1,5,0,0
3822774,198,14,25,3668,2,4,8,6
3822797,202,24,7,3668,6,6,2,2
3822817,207,8,21,2751,4,2,7,5
3822840,211,27,19,1834,5,7,3,5
3822862,214,29,26,917,9,7,10,6
3822887,218,29,12,3668,9,7,5,3
3822908,221,21,11,2751,7,5,3,3
3822930,225,19,22,2751,3,5,9,5
3822951,229,28,31,917,7,7,6,8
3822972,232,7,15,1834,2,2,4,4
3822992,235,30,15,4585,11,7,4,4
3823013,238,23,8,3668,4,6,4,2
3823039,243,7,12,1834,2,2,5,3
3823061,247,29,16,2751,9,7,6,4
3823083,250,25,21,917,8,6,7,5
3823105,254,24,15,1834,6,6,4,4
3823127,259,12,16,917,5,3,6,4
3823148,263,31,26,2751,6,8,10,6
3823169,267,1,16,3668,2,0,6,4
3823191,270,25,16,1834,8,6,6,4
3823217,274,14,13,917,2,4,0,4
3823238,278,37,21,3668,11,9,7,5
3823264,281,19,11,1834,3,5,3,3
3823286,284,19,13,1834,3,5,0,4
3823309,289,20,5,3668,5,5,5,1
3823330,292,6,3,917,0,2,1,1
3823351,295,36,32,917,9,9,8,8
3823372,298,26,16,2751,10,6,6,4
3823395,302,15,12,917,4,4,5,3
3823417,306,25,21,917,8,6,7,5
3823442,312,0,4,1834,0,0,3,1
3823467,316,15,16,917,4,4,6,4
3823489,319,36,35,917,9,9,7,9
3823510,323,15,19,917,4,4,3,5
3823531,326,23,0,5502,4,6,0,0
3823552,329,15,16,917,4,4,6,4
3823574,331,16,21,917,6,4,7,5
3823597,336,16,15,917,6,4,4,4
3823619,339,4,11,1834,3,1,3,3
3823641,344,10,0,2751,1,3,0,0
3823664,346,31,26,2751,6,8,10,6
3823685,350,31,32,917,6,8,8,8
3823705,354,3,0,917,1,1,0,0
3823725,357,23,25,1834,4,6,8,6
3823745,360,31,33,1834,6,8,10,8
3823767,364,25,27,1834,8,6,5,7
3823788,370,0,14,3668,0,0,2,4
3823809,373,3,16,3668,1,1,6,4
3823833,377,19,29,3668,3,5,9,7
3823853,380,16,15,917,6,4,4,4
3823874,383,19,13,1834,3,5,0,4
3823895,385,10,0,2751,1,3,0,0
