,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
37002500,1,16,21,917,6,4,7,5
37002521,5,14,21,2751,2,4,7,5
37002543,9,6,15,2751,0,2,4,4
37002566,15,18,24,2751,1,5,6,6
37002587,18,0,3,917,0,0,1,1
37002608,22,4,3,917,3,1,1,1
37002628,24,11,13,1834,3,3,0,4
37002648,26,20,11,1834,5,5,3,3
37002669,30,27,21,1834,5,7,7,5
37002689,33,16,15,917,6,4,4,4
37002712,36,11,12,917,3,3,5,3
37002735,41,19,21,1834,3,5,7,5
37002755,44,25,16,1834,8,6,6,4
37002776,47,23,25,1834,4,6,8,6
37002797,51,26,20,2751,10,6,5,5
37002818,55,20,18,1834,5,5,1,5
37002841,58,20,10,2751,5,5,1,3
37002862,61,29,26,917,9,7,10,6
37002883,65,16,21,917,6,4,7,5
37002904,67,26,29,917,10,6,9,7
37002925,71,35,31,917,7,9,6,8
37002947,75,27,22,2751,5,7,9,5
37002968,82,22,21,917,9,5,7,5
37002991,84,32,22,2751,8,8,9,5
37003016,90,21,20,917,7,5,5,5
37003039,96,12,16,917,5,3,6,4
37003059,100,20,10,2751,5,5,1,3
37003081,103,6,11,1834,0,2,3,3
37003106,110,5,16,2751,5,1,6,4
37003126,113,26,28,1834,10,6,7,7
37003146,116,19,15,917,3,5,4,4
37003170,121,26,20,2751,10,6,5,5
37003192,124,26,21,1834,10,6,7,5
37003212,127,21,16,917,7,5,6,4
37003234,130,3,7,917,1,1,2,2
37003255,133,10,16,2751,1,3,6,4
37003276,138,16,20,917,6,4,5,5
37003296,142,23,16,1834,4,6,6,4
37003319,145,3,20,3668,1,1,5,5
37003341,150,29,30,917,9,7,11,7
37003362,155,23,0,5502,4,6,0,0
37003384,158,30,24,2751,11,7,6,6
37003405,160,26,25,917,10,6,8,6
37003426,163,8,29,4585,4,2,9,7
37003450,167,0,20,4585,0,0,5,5
37003470,172,16,17,917,6,4,8,4
37003490,175,23,16,1834,4,6,6,4
37003510,178,18,25,3668,1,5,8,6
37003531,181,20,15,917,5,5,4,4
37003552,184,7,21,3668,2,2,7,5
37003572,189,25,21,917,8,6,7,5
37003597,193,7,14,1834,2,2,2,4
37003619,199,18,15,1834,1,5,4,4
37003640,202,17,21,917,8,4,7,5
37003661,205,13,11,1834,0,4,3,3
37003682,209,30,22,1834,11,7,9,5
37003704,213,3,20,3668,1,1,5,5
37003725,217,0,3,917,0,0,1,1
37003746,221,12,21,1834,5,3,7,5
37003766,226,9,16,1834,6,2,6,4
37003786,230,7,15,1834,2,2,4,4
37003808,234,33,29,917,10,8,9,7
37003833,239,3,0,917,1,1,0,0
37003855,241,21,26,1834,7,5,10,6
37003876,246,12,6,2751,5,3,0,2
37003897,250,6,18,2751,0,2,1,5
37003919,256,30,29,917,11,7,9,7
37003939,258,7,16,2751,2,2,6,4
37003961,263,27,24,917,5,7,6,6
37003981,268,16,19,1834,6,4,3,5
37004007,272,35,12,5502,7,9,5,3
37004028,275,12,15,917,5,3,4,4
37004048,278,6,20,3668,0,2,5,5
37004068,282,12,15,917,5,3,4,4
37004089,286,21,29,1834,7,5,9,7
37004111,290,7,22,4585,2,2,9,5
37004132,293,25,21,917,8,6,7,5
37004155,297,29,26,917,9,7,10,6
37004177,300,26,0,7336,10,6,0,0
37004198,307,8,22,3668,4,2,9,5
37004218,310,22,20,1834,9,5,5,5
37004238,314,20,23,917,5,5,4,6
37004260,318,12,28,3668,5,3,7,7
37004282,321,0,6,1834,0,0,0,2
37004304,326,16,21,917,6,4,7,5
37004325,329,16,29,2751,6,4,9,7
37004347,332,21,25,917,7,5,8,6
37004369,336,16,15,917,6,4,4,4
37004390,340,32,26,1834,8,8,10,6
37004412,343,21,26,1834,7,5,10,6
37004433,346,16,15,917,6,4,4,4
37004455,350,15,23,1834,4,4,4,6
37004476,353,11,21,2751,3,3,7,5
37004498,356,33,21,2751,10,8,7,5
37004521,359,27,23,917,5,7,4,6
37004543,363,3,0,917,1,1,0,0
37004567,369,32,33,917,8,8,10,8
37004589,373,5,7,1834,5,1,2,2
37004612,376,31,10,4585,6,8,1,3
37004634,381,19,18,917,3,5,1,5
37004658,385,22,16,1834,9,5,6,4
37004682,390,16,11,1834,6,4,3,3
37004704,393,25,29,917,8,6,9,7
37004726,397,29,20,2751,9,7,5,5
37004749,400,24,33,2751,6,6,10,8
37004773,403,24,19,1834,6,6,3,5
37004798,407,17,21,917,8,4,7,5
37004818,410,10,12,1834,1,3,5,3
37004839,413,23,27,917,4,6,5,7
37004859,417,25,20,1834,8,6,5,5
37004883,421,27,23,917,5,7,4,6
37004904,424,17,21,917,8,4,7,5
37004926,428,19,27,1834,3,5,5,7
37004948,430,12,17,1834,5,3,8,4
37004969,433,23,20,917,4,6,5,5
37004992,437,16,4,2751,6,4,3,1
37005015,441,27,0,6419,5,7,0,0
37005039,445,24,12,2751,6,6,5,3
37005061,448,16,11,1834,6,4,3,3
37005082,450,16,15,917,6,4,4,4
37005103,454,21,12,1834,7,5,5,3
37005125,457,19,23,917,3,5,4,6
37005147,460,21,26,1834,7,5,10,6
37005169,463,23,29,2751,4,6,9,7
37005191,468,23,3,4585,4,6,1,1
37005213,472,15,16,917,4,4,6,4
37005235,476,12,15,917,5,3,4,4
37005258,480,14,10,917,2,4,1,3
37005279,483,29,25,917,9,7,8,6
37005301,487,3,11,1834,1,1,3,3
37005322,491,3,8,1834,1,1,4,2
37005346,496,25,26,917,8,6,10,6
37005368,500,16,29,2751,6,4,9,7
37005388,504,22,31,2751,9,5,6,8
37005408,508,0,10,2751,0,0,1,3
37005428,511,4,16,2751,3,1,6,4
37005449,516,27,26,2751,5,7,10,6
37005470,519,15,16,917,4,4,6,4
37005490,523,25,21,917,8,6,7,5
37005514,528,20,23,917,5,5,4,6
37005535,530,22,21,917,9,5,7,5
37005556,534,25,24,917,8,6,6,6
37005577,537,21,15,1834,7,5,4,4
37005597,540,12,4,1834,5,3,3,1
37005619,544,22,21,917,9,5,7,5
37005641,548,14,16,1834,2,4,6,4
37005663,553,14,20,1834,2,4,5,5
37005683,558,21,20,917,7,5,5,5
37005703,561,20,21,917,5,5,7,5
