,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
79347829,8,26,9,4585,10,6,6,2
79347851,15,0,10,2751,0,0,1,3
79347874,22,31,28,917,6,8,7,7
79347895,31,10,11,917,1,3,3,3
79347918,38,15,12,917,4,4,5,3
79347939,46,26,22,917,10,6,9,5
79347962,54,14,20,1834,2,4,5,5
79347985,63,20,19,917,5,5,3,5
79348007,75,19,14,917,3,5,2,4
79348028,82,30,26,917,11,7,10,6
79348051,96,3,8,1834,1,1,4,2
79348073,103,11,21,2751,3,3,7,5
79348097,109,31,27,917,6,8,5,7
79348118,118,16,12,917,6,4,5,3
79348139,125,7,21,3668,2,2,7,5
79348162,135,19,6,2751,3,5,0,2
79348185,141,18,21,2751,1,5,7,5
79348208,150,21,11,2751,7,5,3,3
79348230,161,0,19,4585,0,0,3,5
79348252,169,7,11,917,2,2,3,3
79348272,180,23,19,917,4,6,3,5
79348293,188,6,10,917,0,2,1,3
79348315,198,22,0,6419,9,5,0,0
79348337,205,26,22,917,10,6,9,5
79348361,212,12,15,917,5,3,4,4
79348382,221,8,7,917,4,2,2,2
79348404,228,35,25,2751,7,9,8,6
79348426,236,12,16,917,5,3,6,4
79348450,243,23,10,2751,4,6,1,3
79348472,251,27,29,1834,5,7,9,7
79348493,259,11,10,917,3,3,1,3
79348517,268,21,22,917,7,5,9,5
79348539,278,7,21,3668,2,2,7,5
79348561,285,22,25,917,9,5,8,6
79348584,295,19,27,1834,3,5,5,7
79348607,305,11,10,917,3,3,1,3
79348629,314,30,26,917,11,7,10,6
79348649,321,5,35,7336,5,1,7,9
79348673,331,11,29,4585,3,3,9,7
79348695,338,16,3,3668,6,4,1,1
79348716,347,13,14,917,0,4,2,4
79348740,356,21,0,5502,7,5,0,0
79348764,362,13,23,2751,0,4,4,6
79348786,369,0,17,5502,0,0,8,4
79348807,378,19,20,917,3,5,5,5
79348829,385,12,16,917,5,3,6,4
79348850,394,3,16,3668,1,1,6,4
79348871,403,16,21,917,6,4,7,5
79348892,408,35,33,1834,7,9,10,8
79348913,418,30,17,2751,11,7,8,4
79348933,424,27,19,1834,5,7,3,5
79348955,434,22,31,2751,9,5,6,8
79348975,443,12,15,917,5,3,4,4
79348998,450,16,11,1834,6,4,3,3
79349020,457,25,22,917,8,6,9,5
79349041,467,14,23,1834,2,4,4,6
79349063,472,0,15,3668,0,0,4,4
79349084,479,33,22,2751,10,8,9,5
79349105,489,20,23,917,5,5,4,6
79349129,496,26,21,1834,10,6,7,5
79349150,504,12,3,2751,5,3,1,1
79349172,511,19,21,1834,3,5,7,5
79349192,515,20,17,1834,5,5,8,4
79349212,524,7,4,917,2,2,3,1
79349232,530,26,22,917,10,6,9,5
79349254,538,4,16,2751,3,1,6,4
79349275,543,15,20,917,4,4,5,5
79349296,548,21,26,1834,7,5,10,6
79349317,557,21,26,1834,7,5,10,6
79349339,565,16,21,917,6,4,7,5
79349360,573,26,30,917,10,6,11,7
79349381,580,16,8,1834,6,4,4,2
79349404,589,21,15,1834,7,5,4,4
79349426,594,21,15,1834,7,5,4,4
79349447,603,35,33,1834,7,9,10,8
79349469,607,4,3,917,3,1,1,1
79349491,614,19,24,1834,3,5,6,6
79349514,622,35,20,3668,7,9,5,5
79349537,632,26,37,2751,10,6,11,9
79349559,640,20,25,1834,5,5,8,6
79349581,647,23,22,2751,4,6,9,5
79349603,655,20,25,1834,5,5,8,6
79349625,663,31,20,2751,6,8,5,5
79349646,670,19,12,1834,3,5,5,3
79349669,678,35,31,917,7,9,6,8
79349690,684,9,11,1834,6,2,3,3
79349713,692,31,27,917,6,8,5,7
79349736,702,14,13,917,2,4,0,4
79349757,713,10,19,1834,1,3,3,5
79349778,718,12,31,4585,5,3,6,8
79349799,724,15,20,917,4,4,5,5
79349822,730,14,18,917,2,4,1,5
79349843,737,21,15,1834,7,5,4,4
79349865,746,25,33,1834,8,6,10,8
79349887,753,18,12,2751,1,5,5,3
79349909,761,14,12,1834,2,4,5,3
79349931,766,27,22,2751,5,7,9,5
79349953,773,33,29,917,10,8,9,7
79349974,778,9,15,1834,6,2,4,4
79350001,789,10,16,2751,1,3,6,4
79350026,798,16,21,917,6,4,7,5
79350048,803,16,20,917,6,4,5,5
79350070,810,20,3,3668,5,5,1,1
79350091,817,22,30,1834,9,5,11,7
79350114,826,27,21,1834,5,7,7,5
79350135,834,12,21,1834,5,3,7,5
79350155,838,6,4,1834,0,2,3,1
79350175,844,15,10,1834,4,4,1,3
79350195,856,6,21,4585,0,2,7,5
79350217,861,26,2,6419,10,6,4,0
79350239,867,19,23,917,3,5,4,6
79350260,876,22,4,4585,9,5,3,1
79350281,883,32,27,1834,8,8,5,7
79350307,892,25,21,917,8,6,7,5
79350329,902,7,15,1834,2,2,4,4
79350353,909,30,17,2751,11,7,8,4
79350375,915,30,21,2751,11,7,7,5
79350397,924,6,0,1834,0,2,0,0
79350421,933,7,30,6419,2,2,11,7
79350444,945,14,10,917,2,4,1,3
79350466,950,12,15,917,5,3,4,4
79350487,959,16,11,1834,6,4,3,3
79350510,965,19,21,1834,3,5,7,5
79350533,972,21,22,917,7,5,9,5
