,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
78630885,6,31,27,917,6,8,5,7
78630905,15,8,12,917,4,2,5,3
78630925,22,25,26,917,8,6,10,6
78630947,28,23,16,1834,4,6,6,4
78630971,34,11,4,1834,3,3,3,1
78630993,44,0,12,3668,0,0,5,3
78631016,52,31,27,917,6,8,5,7
78631040,61,25,15,2751,8,6,4,4
78631063,69,26,15,3668,10,6,4,4
78631084,75,26,20,2751,10,6,5,5
78631105,80,16,21,917,6,4,7,5
78631125,87,15,11,917,4,4,3,3
78631148,93,5,4,917,5,1,3,1
78631170,99,21,15,1834,7,5,4,4
78631193,109,9,12,917,6,2,5,3
78631217,114,20,27,1834,5,5,5,7
78631239,123,11,15,917,3,3,4,4
78631259,133,9,26,4585,6,2,10,6
78631283,142,31,33,1834,6,8,10,8
78631306,153,20,27,1834,5,5,5,7
78631328,160,18,20,1834,1,5,5,5
78631350,170,26,21,1834,10,6,7,5
78631372,182,15,19,917,4,4,3,5
78631393,190,9,21,2751,6,2,7,5
78631413,199,30,26,917,11,7,10,6
78631436,207,19,16,1834,3,5,6,4
78631456,216,12,15,917,5,3,4,4
78631477,224,15,21,1834,4,4,7,5
78631498,230,14,15,917,2,4,4,4
78631519,237,22,17,917,9,5,8,4
78631539,242,17,15,1834,8,4,4,4
78631560,253,11,21,2751,3,3,7,5
78631582,260,23,0,5502,4,6,0,0
78631604,268,26,30,917,10,6,11,7
78631626,276,16,21,917,6,4,7,5
78631648,289,0,12,3668,0,0,5,3
78631671,300,30,37,1834,11,7,11,9
78631691,307,19,28,2751,3,5,7,7
78631711,316,22,30,1834,9,5,11,7
78631735,326,15,20,917,4,4,5,5
78631760,336,27,20,1834,5,7,5,5
78631783,343,23,20,917,4,6,5,5
78631804,352,30,29,917,11,7,9,7
78631826,360,18,11,1834,1,5,3,3
78631849,371,21,15,1834,7,5,4,4
78631872,378,12,15,917,5,3,4,4
78631893,387,21,16,917,7,5,6,4
78631916,394,26,22,917,10,6,9,5
78631939,402,21,23,1834,7,5,4,6
78631961,408,8,12,917,4,2,5,3
78631987,418,28,21,1834,7,7,7,5
78632007,428,0,15,3668,0,0,4,4
78632030,438,8,14,1834,4,2,2,4
78632051,446,31,20,2751,6,8,5,5
78632071,456,27,11,3668,5,7,3,3
78632092,463,18,30,5502,1,5,11,7
78632114,471,14,3,2751,2,4,1,1
78632134,479,27,28,917,5,7,7,7
78632155,485,23,15,1834,4,6,4,4
78632175,492,12,0,3668,5,3,0,0
78632197,500,30,26,917,11,7,10,6
78632219,507,15,20,917,4,4,5,5
78632242,517,7,3,917,2,2,1,1
78632263,524,12,17,1834,5,3,8,4
78632287,537,19,11,1834,3,5,3,3
78632309,544,32,21,2751,8,8,7,5
78632331,556,18,15,1834,1,5,4,4
78632351,565,16,20,917,6,4,5,5
78632372,575,23,16,1834,4,6,6,4
78632393,583,15,14,917,4,4,2,4
78632415,591,30,21,2751,11,7,7,5
78632436,599,8,15,1834,4,2,4,4
78632459,609,15,14,917,4,4,2,4
78632480,615,12,27,3668,5,3,5,7
78632505,623,31,20,2751,6,8,5,5
78632526,633,35,27,1834,7,9,5,7
78632548,639,23,25,1834,4,6,8,6
78632569,649,35,27,1834,7,9,5,7
78632593,656,12,0,3668,5,3,0,0
78632613,663,12,16,917,5,3,6,4
78632633,670,9,26,4585,6,2,10,6
78632655,676,16,21,917,6,4,7,5
78632677,686,25,16,1834,8,6,6,4
78632698,694,19,16,1834,3,5,6,4
78632721,702,5,2,917,5,1,4,0
78632743,711,12,16,917,5,3,6,4
78632766,720,22,14,3668,9,5,2,4
78632789,728,14,21,2751,2,4,7,5
78632812,735,15,6,2751,4,4,0,2
78632836,747,28,21,1834,7,7,7,5
78632859,758,27,31,917,5,7,6,8
78632879,767,4,8,917,3,1,4,2
78632900,775,29,21,1834,9,7,7,5
78632921,782,24,16,1834,6,6,6,4
78632943,789,4,7,917,3,1,2,2
78632964,797,16,11,1834,6,4,3,3
78632985,801,25,26,917,8,6,10,6
78633008,809,31,21,2751,6,8,7,5
78633028,817,15,19,917,4,4,3,5
78633050,827,14,16,1834,2,4,6,4
78633074,834,27,20,1834,5,7,5,5
78633097,844,31,21,2751,6,8,7,5
78633119,853,5,7,1834,5,1,2,2
78633139,859,23,18,1834,4,6,1,5
78633163,871,14,20,1834,2,4,5,5
78633186,878,22,16,1834,9,5,6,4
78633206,886,5,16,2751,5,1,6,4
78633227,891,35,30,2751,7,9,11,7
78633247,897,25,21,917,8,6,7,5
78633268,905,35,29,1834,7,9,9,7
78633289,913,27,23,917,5,7,4,6
78633309,918,7,26,5502,2,2,10,6
78633331,925,25,30,1834,8,6,11,7
78633353,934,21,12,1834,7,5,5,3
78633375,944,29,16,2751,9,7,6,4
78633399,951,24,23,917,6,6,4,6
78633422,960,12,16,917,5,3,6,4
78633445,968,6,19,2751,0,2,3,5
78633469,977,26,15,3668,10,6,4,4
78633490,982,16,12,917,6,4,5,3
78633514,992,20,23,917,5,5,4,6
78633535,997,26,21,1834,10,6,7,5
78633556,1006,14,18,917,2,4,1,5
78633581,1015,26,15,3668,10,6,4,4
78633602,1024,27,22,2751,5,7,9,5
78633626,1032,25,21,917,8,6,7,5
78633650,1039,30,22,1834,11,7,9,5
78633672,1047,8,15,1834,4,2,4,4
78633697,1056,19,11,1834,3,5,3,3
78633720,1063,29,21,1834,9,7,7,5
78633741,1070,22,26,917,9,5,10,6
78633762,1079,8,19,2751,4,2,3,5
