,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
10776176,4,32,27,1834,8,8,5,7
10776196,7,21,20,917,7,5,5,5
10776216,9,28,16,2751,7,7,6,4
10776236,14,0,20,4585,0,0,5,5
10776256,19,25,20,1834,8,6,5,5
10776277,22,11,20,1834,3,3,5,5
10776298,26,16,20,917,6,4,5,5
10776320,31,10,13,917,1,3,0,4
10776341,35,8,20,2751,4,2,5,5
10776361,37,8,12,917,4,2,5,3
10776381,40,22,21,917,9,5,7,5
10776402,43,12,16,917,5,3,6,4
10776423,46,4,8,917,3,1,4,2
10776447,50,6,0,1834,0,2,0,0
10776469,54,15,11,917,4,4,3,3
10776492,57,23,15,1834,4,6,4,4
10776515,63,27,20,1834,5,7,5,5
10776535,67,16,21,917,6,4,7,5
10776558,72,6,21,4585,0,2,7,5
10776582,76,17,20,1834,8,4,5,5
10776603,79,26,21,1834,10,6,7,5
10776626,82,33,29,917,10,8,9,7
10776647,86,29,25,917,9,7,8,6
10776670,89,19,21,1834,3,5,7,5
10776690,94,26,16,2751,10,6,6,4
10776711,97,32,24,1834,8,8,6,6
10776736,102,19,20,917,3,5,5,5
10776758,105,16,21,917,6,4,7,5
10776780,109,33,8,5502,10,8,4,2
10776800,113,12,19,1834,5,3,3,5
10776821,117,30,12,4585,11,7,5,3
10776844,120,10,7,917,1,3,2,2
10776865,123,29,30,917,9,7,11,7
10776888,126,0,12,3668,0,0,5,3
10776908,128,0,20,4585,0,0,5,5
10776928,131,16,15,917,6,4,4,4
10776949,136,6,15,2751,0,2,4,4
10776971,140,29,27,1834,9,7,5,7
10776991,144,25,21,917,8,6,7,5
10777014,148,0,13,3668,0,0,0,4
10777036,153,27,26,2751,5,7,10,6
10777056,157,29,26,917,9,7,10,6
10777077,161,9,11,1834,6,2,3,3
10777098,165,11,21,2751,3,3,7,5
10777119,168,11,16,1834,3,3,6,4
10777140,171,23,14,1834,4,6,2,4
10777162,174,25,22,917,8,6,9,5
10777183,177,8,6,1834,4,2,0,2
10777206,179,25,11,3668,8,6,3,3
10777228,182,22,21,917,9,5,7,5
10777249,186,10,11,917,1,3,3,3
10777275,189,25,17,1834,8,6,8,4
10777296,193,23,20,917,4,6,5,5
10777317,196,30,22,1834,11,7,9,5
10777337,198,21,17,917,7,5,8,4
10777359,201,22,21,917,9,5,7,5
10777382,205,16,21,917,6,4,7,5
10777404,208,10,3,1834,1,3,1,1
10777425,211,12,0,3668,5,3,0,0
10777448,215,28,16,2751,7,7,6,4
10777471,219,29,33,917,9,7,10,8
10777491,222,29,16,2751,9,7,6,4
10777516,227,14,20,1834,2,4,5,5
10777538,230,8,12,917,4,2,5,3
