,pickup_time,pickup_ID,dropoff_ID,distance,pickup_horizontal_idx,pickup_vertical_idx,dropoff_horizontal_idx,dropoff_vertical_idx
23676908,15,7,1,918,4,2,2,0
23676935,20,7,4,459,4,2,3,1
23676966,25,8,2,1377,1,3,4,0
23677021,37,7,1,918,4,2,2,0
23677069,46,9,7,459,3,3,4,2
23677071,47,3,2,918,1,1,4,0
23677150,60,4,5,918,3,1,0,2
23677224,72,10,7,459,5,3,4,2
23677225,72,4,0,918,3,1,0,0
23677545,126,4,5,918,3,1,0,2
23677569,129,8,5,459,1,3,0,2
23677590,133,5,7,918,0,2,4,2
23677628,140,0,6,918,0,0,2,2
23677717,155,7,6,459,4,2,2,2
23677743,159,4,5,918,3,1,0,2
23677798,169,0,2,918,0,0,4,0
23677824,174,4,9,918,3,1,3,3
23677831,175,10,2,1377,5,3,4,0
23677841,176,5,4,918,0,2,3,1
23677925,190,3,5,459,1,1,0,2
23677931,191,9,2,1377,3,3,4,0
23677973,197,4,9,918,3,1,3,3
23677985,199,9,6,459,3,3,2,2
23678077,216,5,2,1377,0,2,4,0
23678368,268,4,5,918,3,1,0,2
23678559,298,4,5,918,3,1,0,2
23678567,300,4,9,918,3,1,3,3
23678644,311,5,3,459,0,2,1,1
23678699,321,4,5,918,3,1,0,2
23678777,333,9,10,459,3,3,5,3
23678799,336,7,1,918,4,2,2,0
23678843,343,0,9,1377,0,0,3,3
23678978,364,6,7,459,2,2,4,2
23679034,375,5,7,918,0,2,4,2
23679183,400,10,2,1377,5,3,4,0
23679217,405,4,10,918,3,1,5,3
23679276,413,5,4,918,0,2,3,1
23679310,420,4,2,459,3,1,4,0
23679382,434,9,3,918,3,3,1,1
23679439,441,4,10,918,3,1,5,3
23679454,445,5,1,918,0,2,2,0
23679474,447,4,3,459,3,1,1,1
23679522,455,8,6,459,1,3,2,2
23679703,483,0,7,1377,0,0,4,2
23679736,489,8,1,1377,1,3,2,0
